Time,Monday,Tuesday,Wednesday,Thursday,Friday
09:00,0,0,0,0,0
10:00,0,0,0,0,0
11:00,0,2,2,0,0
12:00,0,2,0,0,0
13:00,0,1,0,0,0
14:00,0,1,0,0,0
15:00,0,1,0,0,0
